Age,Sex,Job,Housing,Duration,Purpose,Risk,installment,Other_credit,DTI,month.inc,emp.length,Checking.account,Saving.accounts,credit.amount
20,female,3,rent,12,car,good,389.5833333,0,0.091834847,4242.21684,6,NA,NA,4675
45,male,2,own,10,car,good,128.7,0,0.048334833,2662.676024,2,NA,NA,1287
43,male,3,own,18,furniture/equipment,good,139.7222222,0,0.068500849,2039.715204,6,NA,little,2515
32,male,3,own,21,furniture/equipment,good,130.7142857,1,0.120555198,1084.269184,3,moderate,rich,2745
54,female,1,own,6,car,good,112,1,0.186239994,601.3745909,0,NA,little,672
42,female,3,own,36,radio/TV,bad,105.6666667,1,0.549877147,192.1641356,9,moderate,little,3804
37,male,2,own,24,car,bad,56,1,0.581313441,96.33357158,2,rich,NA,1344
49,male,3,own,10,car,good,103.8,1,0.239333919,433.7036747,2,little,little,1038
44,male,3,free,48,car,bad,210.9791667,1,0.618133751,341.3163675,5,NA,quite rich,10127
33,male,3,own,6,furniture/equipment,good,257.1666667,1,0.082692863,3109.901591,6,NA,rich,1543
24,female,2,rent,30,car,good,160.3666667,0,0.1829967,876.3363845,3,NA,NA,4811
33,male,2,own,12,radio/TV,bad,60.58333333,0,0.541474179,111.8859139,2,little,moderate,727
24,female,3,own,8,furniture/equipment,bad,154.625,0,0.658253278,234.9019825,9,moderate,little,1237
22,male,2,rent,9,car,good,30.66666667,0,0.085539871,358.5072832,2,moderate,little,276
40,male,1,free,48,vacation/others,good,112.1041667,0,0.495795694,226.1096011,1,moderate,NA,5381
25,male,3,own,24,furniture/equipment,good,229.625,0,0.044820779,5123.181873,5,NA,moderate,5511
26,female,3,own,24,furniture/equipment,good,156.2083333,0,0.051400128,3039.065061,7,rich,little,3749
25,male,2,own,12,car,bad,57.08333333,1,0.819267697,69.67604554,2,moderate,little,685
NA,male,2,own,4,car,good,373.5,1,0.17469157,2138.053948,0,rich,NA,1494
NA,male,3,own,36,furniture/equipment,bad,76.27777778,0,0.284464994,268.1446904,6,little,little,2746
38,male,2,own,12,furniture/equipment,good,59,1,0.172504855,342.0193601,0,little,little,708
48,female,2,own,24,furniture/equipment,good,181.2916667,1,0.11806476,1535.527339,2,moderate,NA,4351
32,male,3,own,12,education,good,58.41666667,0,0.043375423,1346.768822,7,NA,little,701
27,female,2,own,15,furniture/equipment,good,242.8666667,0,0.032901124,7381.713264,4,little,little,3643
28,male,4,own,30,car,bad,141.6333333,1,0.641843261,220.6665425,5,moderate,little,4249
32,male,3,own,24,radio/TV,bad,80.75,1,0.894120854,90.31217609,8,little,little,1938
34,male,4,free,24,car,good,121.25,0,0.533202646,227.3994719,2,little,little,2910
28,male,3,own,18,furniture/equipment,good,147.7222222,0,0.051614591,2862.024471,10,little,rich,2659
36,female,3,own,18,car,good,57.11111111,1,0.06073741,940.2954612,9,NA,little,1028
39,male,2,own,8,car,good,424.75,1,0.240435903,1766.583089,3,little,little,3398
49,male,3,rent,12,furniture/equipment,good,483.4166667,0,0.043421091,11133.22259,5,NA,NA,5801
34,female,3,own,24,car,good,63.54166667,1,0.251114695,253.0384241,7,NA,rich,1525
31,male,3,own,36,radio/TV,good,124.25,0,0.041027074,3028.487999,4,rich,little,4473
28,male,3,own,6,radio/TV,good,178,0,0.034994491,5086.514915,3,moderate,little,1068
75,male,4,free,24,car,good,275.625,0,0.478721483,575.7523107,3,little,little,6615
30,female,3,own,18,education,bad,103.5555556,1,0.678111735,152.7116406,8,NA,moderate,1864
24,female,4,own,60,car,bad,123.4666667,0,0.505534538,244.2299338,4,moderate,moderate,7408
24,female,2,rent,48,car,bad,241.4583333,1,0.840701302,287.2106094,2,NA,moderate,11590
23,male,3,rent,24,furniture/equipment,bad,171.25,1,0.513206845,333.6861181,9,little,little,4110
44,male,4,rent,6,furniture/equipment,bad,564,1,0.493896654,1141.939301,3,little,little,3384
23,female,2,own,13,radio/TV,good,161.6153846,0,0.021385851,7557.117382,2,moderate,little,2101
24,female,3,rent,15,domestic appliances,bad,85,1,0.74947998,113.4119687,9,little,NA,1275
28,male,3,own,24,furniture/equipment,good,173.7083333,0,0.043052169,4034.833487,4,little,little,4169
31,male,2,own,10,furniture/equipment,good,152.1,0,0.057368693,2651.271816,1,moderate,little,1521
24,female,3,free,24,education,good,239.2916667,1,0.742320399,322.3563129,6,moderate,little,5743
26,female,2,rent,21,furniture/equipment,good,171.3809524,0,0.198897368,861.6552065,2,little,little,3599
25,male,3,rent,18,radio/TV,good,178.5,1,0.289469348,616.6456009,11,moderate,quite rich,3213
33,male,4,own,18,business,good,246.6111111,0,0.046222538,5335.300104,3,moderate,little,4439
37,male,2,own,10,car,good,394.9,0,0.058370387,6765.416822,2,rich,little,3949
43,female,2,own,15,radio/TV,good,97.26666667,0,0.027489515,3538.318751,2,NA,little,1459
23,male,3,own,13,radio/TV,good,67.84615385,1,0.238611949,284.3367831,4,moderate,little,882
23,female,1,rent,24,radio/TV,good,156.5833333,1,0.219132234,714.5609315,0,moderate,quite rich,3758
34,male,2,own,6,business,good,290.5,0,0.058602285,4957.144591,1,NA,moderate,1743
32,male,3,free,9,education,bad,126.2222222,1,0.542856058,232.5150846,8,moderate,rich,1136
23,female,3,rent,9,domestic appliances,good,137.3333333,1,0.120052095,1143.947828,6,NA,little,1236
29,female,3,own,9,furniture/equipment,bad,106.5555556,1,0.493222887,216.0393572,6,moderate,little,959
38,male,4,own,18,car,good,179.3888889,0,0.070331697,2550.61225,3,NA,NA,3229
28,male,3,rent,12,radio/TV,bad,516.5833333,0,0.60588366,852.6114292,9,little,little,6199
46,male,3,free,10,education,good,72.7,0,0.63024075,115.3527442,5,NA,quite rich,727
23,male,2,own,24,car,bad,51.91666667,0,0.499511852,103.9348044,3,moderate,little,1246
49,male,3,own,12,radio/TV,good,194.25,0,0.042625246,4557.15846,5,NA,NA,2331
26,male,4,own,36,radio/TV,bad,123.9722222,0,0.519180959,238.7842237,3,NA,little,4463
28,male,3,own,12,radio/TV,good,64.66666667,1,0.153170416,422.1877055,3,NA,little,776
23,female,3,rent,30,furniture/equipment,bad,80.2,1,0.711576097,112.707552,7,little,little,2406
61,male,3,free,18,education,good,68.83333333,0,0.711760849,96.70851308,5,moderate,NA,1239
37,male,4,own,12,radio/TV,good,283.25,1,0.080771432,3506.809205,1,rich,NA,3399
36,female,3,own,12,car,good,187.25,1,0.05542244,3378.595408,4,rich,little,2247
21,male,3,rent,6,furniture/equipment,good,294.3333333,1,0.272718868,1079.255483,6,NA,little,1766
25,male,1,own,18,furniture/equipment,bad,137.3888889,1,0.474900658,289.3002705,2,little,little,2473
36,male,3,own,12,business,good,128.5,1,0.062787299,2046.59225,4,NA,little,1542
27,male,3,own,18,car,good,213.8888889,0,0.06434351,3324.171897,9,NA,little,3850
22,female,3,rent,18,furniture/equipment,good,202.7777778,1,0.380919058,532.338232,6,little,little,3650
42,male,3,own,36,furniture/equipment,bad,95.72222222,1,0.79962405,119.7090335,8,little,little,3446
40,female,3,rent,18,furniture/equipment,good,166.7222222,1,0.220180405,757.2073553,6,moderate,little,3001
36,male,3,own,36,car,good,85.52777778,0,0.060093528,1423.2444,10,NA,NA,3079
33,male,3,own,18,radio/TV,good,337.2222222,1,0.077374037,4358.338241,4,NA,little,6070
23,female,3,rent,10,furniture/equipment,good,214.6,0,-0.034096735,-6293.857767,8,NA,little,2146
63,male,4,free,60,car,good,229.2666667,1,0.581628951,394.1802869,3,NA,NA,13756
60,female,4,free,60,vacation/others,bad,246.3666667,1,0.756321138,325.7434628,3,moderate,moderate,14782
37,female,3,rent,48,business,bad,160.1041667,1,0.627656688,255.0823878,6,little,little,7685
34,male,3,own,18,radio/TV,good,128.8888889,0,0.037913272,3399.57177,7,NA,little,2320
36,male,3,free,7,radio/TV,good,120.8571429,0,0.436964361,276.5835242,7,NA,NA,846
57,male,4,free,36,car,bad,397.7222222,1,0.434615091,915.1136951,4,moderate,little,14318
52,female,2,own,6,car,good,60.33333333,1,0.156571245,385.3410844,3,NA,moderate,362
39,male,3,own,20,furniture/equipment,good,110.6,0,0.048296381,2290.026638,5,little,NA,2212
38,female,4,free,18,car,bad,720.8888889,1,0.571323832,1261.786833,5,moderate,little,12976
25,female,3,rent,22,car,good,58.31818182,1,0.173598096,335.937911,7,NA,NA,1283
26,male,3,own,12,car,good,110.8333333,0,0.039247337,2823.970762,8,rich,little,1330
26,male,2,own,30,business,good,142.4,0,0.030946029,4601.559709,2,NA,moderate,4272
25,female,3,own,18,radio/TV,good,124.3333333,0,-0.000605886,-205209.2091,6,NA,little,2238
21,female,3,rent,18,radio/TV,good,62.55555556,1,0.101536227,616.0910017,8,NA,NA,1126
40,male,4,own,18,furniture/equipment,good,409.6666667,0,0.026875501,15243.12661,3,moderate,little,7374
27,male,3,own,15,business,good,155.0666667,0,0.015348901,10102.78627,7,moderate,quite rich,2326
27,female,3,own,9,business,good,161,0,0.033854039,4755.710217,7,NA,little,1449
30,male,4,own,18,car,good,101.1111111,0,0.032509558,3110.196414,3,NA,little,1820
19,female,2,rent,12,furniture/equipment,good,NA,0,-0.050069619,-1636.055318,3,moderate,rich,983
39,male,4,free,36,car,good,90.25,0,0.771023774,117.0521624,5,little,little,3249
31,female,3,own,6,radio/TV,good,326.1666667,0,0.04469344,7297.864417,4,little,little,1957
31,male,4,own,9,furniture/equipment,good,267.3333333,0,0.052346964,5106.950152,3,NA,little,2406
32,male,3,rent,39,education,good,301.5384615,1,0.213692481,1411.085967,5,moderate,moderate,11760
55,female,4,free,12,furniture/equipment,good,214.8333333,0,0.562638276,381.8320622,3,little,little,2578
46,male,3,own,36,furniture/equipment,good,65.22222222,1,0.197682797,329.9337274,7,little,little,2348
46,male,3,rent,12,car,bad,101.9166667,1,0.656073363,155.3433998,7,moderate,little,1223
43,female,2,own,24,radio/TV,good,63.16666667,1,0.094631071,667.504509,1,NA,rich,1516
39,male,3,own,18,radio/TV,good,81.83333333,0,0.028226562,2899.160522,6,NA,little,1473
28,male,3,own,18,business,good,104.8333333,1,0.109238228,959.6762567,8,moderate,NA,1887
27,male,3,own,24,business,bad,360.3333333,1,0.634249394,568.1256248,7,NA,little,8648
27,male,2,own,14,car,good,57.28571429,0,0.053184095,1077.121172,4,NA,little,802
43,male,3,own,18,car,good,161.0555556,1,0.206825344,778.7031933,7,moderate,NA,2899
22,male,3,own,24,radio/TV,bad,84.95833333,1,0.62962163,134.935538,6,moderate,little,2039
43,male,3,own,24,car,good,91.54166667,0,0.036127106,2533.877677,7,NA,NA,2197
27,male,3,own,15,radio/TV,good,70.2,0,0.050953324,1377.731498,8,little,little,1053
26,male,4,own,24,radio/TV,good,134.7916667,0,0.038628973,3489.393009,2,NA,quite rich,3235
28,male,3,own,12,car,bad,78.25,1,0.586430486,133.4344,10,rich,quite rich,939
20,female,3,own,24,radio/TV,good,81.95833333,0,0.013711297,5977.430954,10,moderate,little,1967
35,male,4,own,33,car,good,219.7878788,0,0.046698402,4706.539609,6,NA,little,7253
42,male,4,own,12,business,bad,191,1,0.543165515,351.6423532,1,NA,little,2292
40,male,2,rent,10,car,good,159.7,0,0.07012678,2277.304056,1,NA,quite rich,1597
35,female,3,own,24,car,bad,57.54166667,1,0.701956885,81.97322073,8,little,NA,1381
35,male,3,own,36,car,good,162.2777778,0,0.053123442,3054.730118,4,NA,little,5842
33,male,2,own,12,car,bad,214.9166667,1,0.68267404,314.8159357,2,little,little,2579
23,female,3,rent,18,education,good,470.6111111,1,0.397499913,1183.927583,4,little,NA,8471
31,female,4,own,21,car,good,132.4761905,0,0.042326359,3129.874434,3,NA,quite rich,2782
33,female,3,own,18,car,bad,57.88888889,1,0.464069293,124.7419078,7,moderate,NA,1042
20,female,3,rent,15,car,good,212.4,0,0.124714059,1703.095883,6,NA,rich,3186
30,male,3,own,12,car,good,169,0,0.053145108,3179.97284,6,moderate,NA,2028
47,male,2,own,12,car,good,79.83333333,0,0.050369434,1584.955928,2,moderate,little,958
34,male,4,own,21,furniture/equipment,good,75.76190476,1,0.146587508,516.8373895,3,NA,moderate,1591
25,female,3,own,12,furniture/equipment,bad,230.1666667,1,0.547607158,420.3134731,5,moderate,NA,2762
21,male,3,rent,18,car,good,154.3888889,0,0.232610924,663.7215739,7,moderate,little,2779
29,male,3,own,28,radio/TV,good,97.96428571,0,0.057645604,1699.423352,7,NA,little,2743
46,male,3,own,18,radio/TV,good,63.83333333,0,0.04784419,1334.191966,6,NA,rich,1149
20,male,3,own,9,furniture/equipment,good,145.8888889,1,0.268470393,543.4077378,6,NA,little,1313
55,female,1,free,18,repairs,bad,66.11111111,1,0.784237904,84.29981615,2,little,little,1190
74,male,2,own,5,business,good,689.6,1,0.134947638,5110.130191,0,NA,little,3448
29,male,4,own,24,vacation/others,bad,472,0,0.525165344,898.764561,2,moderate,little,11328
36,male,4,free,6,furniture/equipment,good,312,0,0.63174129,493.8730539,3,little,little,1872
33,male,3,own,24,repairs,good,85.75,1,0.133432959,642.644821,7,NA,little,2058
25,male,3,own,9,furniture/equipment,good,237.3333333,1,0.202906945,1169.665896,5,little,little,2136
25,male,3,own,12,radio/TV,bad,123.6666667,1,0.67759359,182.5086136,7,moderate,NA,1484
23,male,2,rent,6,repairs,good,110,0,-0.008470193,-12986.71781,1,NA,quite rich,660
37,female,3,own,24,car,good,53.625,1,0.273487158,196.0786763,5,NA,rich,1287
65,male,1,own,42,repairs,good,80.80952381,0,0.028171481,2868.486924,2,little,little,3394
26,female,1,own,12,business,bad,50.75,1,0.736331551,68.92275628,1,rich,little,609
39,male,4,own,12,car,good,157,0,0.045668824,3437.793816,2,NA,little,1884
30,female,3,own,12,furniture/equipment,good,135,1,0.193062333,699.2560285,8,little,little,1620
29,male,3,own,20,vacation/others,good,131.45,1,0.222179377,591.6390703,3,moderate,little,2629
41,male,2,own,12,education,bad,59.91666667,1,0.710512542,84.32879522,1,NA,little,719
30,female,4,own,48,furniture/equipment,bad,106.1666667,1,0.56347958,188.4126248,2,moderate,little,5096
41,female,2,rent,9,education,good,138.2222222,0,0.201393351,686.3296217,3,NA,NA,1244
34,female,3,own,36,car,bad,51.16666667,1,0.574939486,88.99487319,8,little,little,1842
35,male,3,own,7,radio/TV,good,368,0,0.066984775,5493.785711,6,moderate,little,2576
55,female,4,own,12,furniture/equipment,good,118.6666667,0,0.033596178,3532.147842,2,rich,NA,1424
61,male,3,own,15,repairs,bad,100.8,0,0.413816115,243.5864539,1,moderate,rich,1512
30,male,4,own,36,car,good,307.0555556,0,0.062417544,4919.378968,4,NA,NA,11054
29,female,3,own,6,radio/TV,good,86.33333333,0,0.036445211,2368.852636,4,NA,little,518
34,male,3,own,12,furniture/equipment,good,229.9166667,0,0.044116664,5211.560558,6,NA,little,2759
35,male,4,own,24,car,good,111.25,1,0.240849263,461.9071643,3,NA,little,2670
31,male,3,own,24,car,bad,200.7083333,1,0.55224008,363.4439814,10,little,little,4817
29,female,4,own,24,car,good,111.625,1,0.099097121,1126.420211,1,NA,little,2679
36,male,3,rent,11,car,good,355,0,0.127303519,2788.611048,9,little,little,3905
35,male,3,free,12,car,bad,282.1666667,1,0.705236717,400.1020647,6,little,little,3386
27,female,3,own,6,domestic appliances,good,57.16666667,0,0.017828172,3206.53556,5,little,little,343
32,male,3,own,18,radio/TV,good,255.2222222,0,0.055337158,4612.130977,6,NA,little,4594
37,male,3,own,36,furniture/equipment,good,100.5555556,1,0.17452982,576.1511448,7,little,little,3620
36,male,3,own,15,car,good,114.7333333,1,0.118471259,968.4486751,5,little,little,1721
34,female,4,rent,12,furniture/equipment,good,251.4166667,1,0.365107089,688.6107513,3,moderate,little,3017
38,male,3,own,12,education,good,62.83333333,0,0.056877079,1104.721525,7,moderate,NA,754
34,male,3,own,18,business,good,108.3333333,0,0.028143867,3849.269687,4,NA,little,1950
63,male,3,own,24,car,good,121.8333333,1,0.170295977,715.4210879,7,little,little,2924
29,female,2,rent,24,radio/TV,bad,69.125,1,0.57393894,120.4396412,1,little,little,1659
32,male,3,own,48,radio/TV,good,150.7916667,0,0.036866358,4090.224168,8,NA,NA,7238
26,female,3,own,33,business,good,83.75757576,0,0.026315905,3182.773946,8,NA,little,2764
35,male,2,own,24,car,good,194.9583333,1,0.18721132,1041.381114,4,NA,little,4679
22,male,3,rent,24,radio/TV,bad,128.8333333,0,0.559288061,230.3523753,9,moderate,moderate,3092
23,female,3,own,6,education,bad,74.66666667,1,0.449585385,166.0789455,8,little,little,448
28,male,2,own,9,car,bad,72.66666667,1,0.736510386,98.66346495,3,little,little,654
36,male,4,own,6,education,good,206.3333333,1,0.189442204,1089.162443,3,NA,NA,1238
33,male,3,own,18,radio/TV,bad,69.16666667,1,0.448368145,154.2631149,5,moderate,little,1245
26,female,3,rent,18,furniture/equipment,bad,173,1,0.701021721,246.7826529,6,little,little,3114
24,male,3,own,39,car,good,65.87179487,0,0.055614454,1184.436591,5,NA,quite rich,2569
25,male,3,own,24,radio/TV,good,214.6666667,1,0.265191905,809.4766951,5,rich,little,5152
39,male,2,own,12,business,good,86.41666667,0,0.036154779,2390.186562,1,moderate,moderate,1037
44,male,3,own,15,furniture/equipment,good,98.53333333,0,0.045968016,2143.519365,8,little,little,1478
23,female,2,own,12,radio/TV,good,297.75,0,0.031684435,9397.358773,3,moderate,little,3573
26,male,3,own,24,car,good,50.04166667,1,0.125261565,399.4973771,6,moderate,little,1201
57,female,3,rent,30,furniture/equipment,good,120.7333333,0,0.168113269,718.1665891,8,little,rich,3622
30,female,3,own,15,furniture/equipment,good,64,0,0.039571758,1617.315058,4,NA,rich,960
44,male,3,own,12,car,good,96.91666667,1,0.125533042,772.041088,6,NA,quite rich,1163
47,male,4,own,6,car,bad,201.5,0,0.451496655,446.2934499,1,moderate,little,1209
52,male,3,own,12,radio/TV,good,NA,0,0.039350946,6516.150045,6,NA,little,3077
62,female,3,free,24,car,good,156.5416667,1,0.934727055,167.4731312,6,NA,little,3757
NA,male,2,rent,10,car,good,141.8,1,0.185736375,763.4476544,2,NA,moderate,1418
26,male,3,rent,6,car,good,586.3333333,1,0.351927503,1666.062837,8,NA,little,3518
26,male,3,own,12,radio/TV,good,161.1666667,0,0.004778494,33727.50319,6,NA,little,1934
42,female,4,free,27,business,bad,308.0740741,0,0.504455243,610.7064569,5,moderate,little,8318
27,female,3,own,6,radio/TV,good,206.1666667,0,0.04723009,4365.155107,9,NA,moderate,1237
38,male,3,own,6,radio/TV,good,61.33333333,0,0.047346441,1295.415924,6,moderate,NA,368
39,male,2,rent,12,car,good,176.8333333,1,0.175330691,1008.570332,1,little,little,2122
20,male,3,own,24,furniture/equipment,bad,124.8333333,1,0.488289333,255.6544346,9,little,NA,2996
29,male,4,rent,36,furniture/equipment,bad,250.9444444,1,0.400538086,626.5183091,3,moderate,moderate,9034
40,male,3,own,24,furniture/equipment,good,66.04166667,1,0.160828723,410.6335317,7,NA,little,1585
32,male,2,own,18,radio/TV,good,72.27777778,1,0.200810422,359.9304114,0,moderate,little,1301
28,male,3,own,6,car,good,220.5,0,0.050956397,4327.228992,7,rich,moderate,1323
27,female,3,own,24,car,bad,130.125,0,0.543164874,239.5681424,7,little,little,3123
42,male,3,free,36,car,good,152.5833333,0,0.644806349,236.6343533,5,little,little,5493
49,male,3,own,9,radio/TV,good,125.1111111,0,0.032511359,3848.227619,7,rich,moderate,1126
38,male,3,own,24,radio/TV,bad,50.66666667,1,0.484628044,104.5475336,5,moderate,moderate,1216
24,female,3,rent,24,car,bad,50.29166667,1,0.679724199,73.98834228,5,little,little,1207
27,male,2,own,10,car,bad,130.9,1,0.688369908,190.1593874,2,NA,NA,1309
36,male,3,own,15,car,good,157.3333333,0,0.048984597,3211.893986,9,rich,quite rich,2360
34,male,4,own,15,car,bad,456.6666667,1,0.657958659,694.0658966,3,moderate,moderate,6850
28,male,3,own,24,radio/TV,good,58.875,0,0.069975884,841.3612943,6,NA,little,1413
45,male,4,own,39,car,good,220.2051282,1,0.216629408,1016.506161,5,NA,moderate,8588
26,male,3,own,12,car,bad,63.25,1,0.542527931,116.5838594,6,little,little,759
32,male,4,free,36,car,good,130.1666667,0,0.571940608,227.5877334,5,NA,little,4686
26,male,3,rent,15,business,good,179.1333333,0,0.151003874,1186.283033,9,rich,little,2687
20,male,3,rent,12,radio/TV,good,48.75,1,0.332493653,146.6193403,4,moderate,little,585
54,male,3,own,24,car,good,93.95833333,1,0.293973895,319.614547,8,NA,NA,2255
37,female,3,own,6,car,good,101.5,0,0.025244599,4020.662004,8,little,little,609
40,male,2,own,6,car,good,226.8333333,0,0.039036067,5810.865428,2,little,little,1361
23,female,3,rent,36,furniture/equipment,bad,197.9722222,0,0.423918372,467.0055256,9,NA,little,7127
43,male,3,own,6,car,good,200.5,1,0.181686567,1103.548839,7,little,moderate,1203
36,male,3,free,6,radio/TV,good,116.6666667,0,0.448228126,260.2841272,9,NA,NA,700
44,male,3,free,24,repairs,good,229.4583333,0,0.535344399,428.6181641,6,NA,little,5507
24,female,3,own,18,radio/TV,bad,177.2222222,1,0.668997907,264.9069903,10,little,little,3190
53,male,3,free,48,furniture/equipment,bad,148.3125,0,0.449479605,329.9649158,6,little,little,7119
23,female,3,own,24,car,good,145.3333333,0,0.032384738,4487.71064,8,NA,moderate,3488
26,female,2,own,18,radio/TV,good,61.83333333,0,0.055638179,1111.34718,1,moderate,little,1113
30,male,3,own,26,car,good,306.3846154,0,0.034115428,8980.822865,8,moderate,little,7966
31,female,3,own,15,education,good,102.1333333,0,0.05618249,1817.885482,5,NA,moderate,1532
42,male,2,own,4,radio/TV,good,375.75,1,0.127084336,2956.697992,1,NA,little,1503
31,male,3,rent,36,radio/TV,bad,63.94444444,0,0.253653389,252.0937915,6,little,little,2302
41,male,2,own,6,car,good,110.3333333,0,0.042979515,2567.11444,3,little,little,662
32,male,3,own,36,education,good,63.13888889,1,0.262871505,240.1891709,6,moderate,little,2273
28,female,3,rent,15,car,bad,175.4,1,0.651779084,269.109587,7,moderate,moderate,2631
41,male,3,rent,12,car,good,125.25,1,0.358932324,348.9515754,4,NA,little,1503
26,male,3,own,24,radio/TV,good,54.625,0,0.060057917,909.5386975,7,NA,moderate,1311
25,male,3,own,24,radio/TV,good,129.375,0,0.02426289,5332.21728,5,NA,NA,3105
33,male,3,rent,21,education,bad,110.4285714,1,0.692672506,159.4239276,6,rich,little,2319
75,female,4,own,6,car,good,229,1,0.095810865,2390.125583,5,little,NA,1374
37,female,3,own,18,furniture/equipment,good,200.6666667,0,0.044242871,4535.570616,6,moderate,little,3612
42,male,4,free,48,car,bad,161.7291667,1,0.552551858,292.6950011,0,little,little,7763
45,female,2,own,18,furniture/equipment,good,169.3888889,1,0.054721304,3095.483435,1,rich,little,3049
23,male,3,rent,12,radio/TV,bad,127.8333333,0,0.362461986,352.6806621,9,moderate,little,1534
60,male,3,free,24,car,good,84.66666667,0,0.246646088,343.2718816,7,NA,little,2032
31,male,3,own,30,furniture/equipment,bad,211.6666667,1,0.549546201,385.1662811,9,little,NA,6350
34,male,2,own,18,furniture/equipment,bad,159.1111111,1,0.652899156,243.6993671,3,rich,little,2864
61,male,2,own,12,car,good,104.5833333,0,0.055549795,1882.695205,1,NA,little,1255
43,male,3,free,24,car,bad,55.54166667,1,0.68569677,81.00033292,3,little,little,1333
37,female,3,own,24,car,good,84.25,1,0.138700111,607.4256124,8,NA,little,2022
32,male,3,own,24,radio/TV,good,64.66666667,0,0.055020129,1175.327436,6,NA,little,1552
24,female,2,own,12,radio/TV,bad,52.16666667,1,0.998667684,52.23626189,3,little,little,626
35,male,3,free,48,car,good,184.5416667,0,0.456910016,403.8906135,6,NA,NA,8858
23,female,3,own,12,repairs,good,83,0,0.058186838,1426.439438,9,NA,NA,996
45,male,2,own,6,radio/TV,good,291.6666667,0,0.05809625,5020.404339,3,NA,quite rich,1750
34,male,3,own,48,radio/TV,bad,145.8125,1,0.517994883,281.4940935,6,little,little,6999
27,male,3,own,12,car,good,166.25,0,0.088599918,1876.412575,7,moderate,moderate,1995
67,female,4,own,9,education,good,133.2222222,0,0.032066643,4154.542262,3,moderate,little,1199
22,male,3,own,12,radio/TV,bad,110.9166667,1,0.587104988,188.9213496,4,moderate,little,1331
28,female,3,own,18,car,bad,126.5555556,1,0.717677677,176.3403819,8,moderate,moderate,2278
29,female,3,own,21,car,bad,238.2380952,1,0.569421567,418.3861465,8,NA,NA,5003
27,male,3,own,24,furniture/equipment,bad,148,1,0.670159842,220.8428359,5,little,little,3552
31,male,2,own,18,furniture/equipment,bad,107.1111111,1,0.55956521,191.4184606,2,moderate,little,1928
49,male,3,free,24,car,good,123.5,1,0.587418833,210.2418121,9,little,NA,2964
24,male,2,rent,24,radio/TV,bad,64.41666667,1,0.868087614,74.20525954,2,little,little,1546
29,female,3,own,6,radio/TV,good,113.8333333,1,0.237700528,478.8939023,6,rich,little,683
37,male,3,free,36,car,bad,344.1388889,0,0.654795262,525.5671637,4,moderate,NA,12389
37,male,4,own,24,business,good,196.3333333,1,0.1267571,1548.894171,3,moderate,NA,4712
23,female,3,rent,24,radio/TV,good,64.70833333,1,0.446788109,144.8300256,9,moderate,moderate,1553
36,male,3,own,12,car,bad,114.3333333,0,0.48919476,233.7174119,7,little,little,1372
34,male,3,own,24,radio/TV,good,107.4166667,1,0.199546459,538.3040472,7,NA,rich,2578
41,male,3,own,48,radio/TV,good,82.89583333,0,0.03730736,2221.969969,7,moderate,NA,3979
31,female,3,own,48,radio/TV,bad,140.7916667,0,0.633401595,222.2786739,6,little,little,6758
23,female,2,rent,24,furniture/equipment,bad,134.75,1,0.471193311,285.9760461,4,little,little,3234
38,male,3,own,30,radio/TV,good,198.4666667,0,0.06422672,3090.095004,2,NA,little,5954
26,female,4,rent,24,car,good,226.375,1,0.18681572,1211.755626,3,NA,NA,5433
22,female,2,own,15,business,good,53.73333333,0,0.034720593,1547.592596,2,little,little,806
27,male,2,own,9,radio/TV,good,120.2222222,0,0.056027175,2145.784103,2,moderate,little,1082
24,female,3,own,15,furniture/equipment,good,185.8666667,0,0.037095851,5010.443497,5,NA,little,2788
27,female,3,own,12,radio/TV,good,244.1666667,0,0.050025606,4880.833771,6,moderate,little,2930
33,female,3,own,24,education,good,80.29166667,1,0.072975,1100.262653,7,NA,NA,1927
27,male,3,own,36,car,bad,78.33333333,1,0.494155946,158.5194592,4,moderate,little,2820
27,male,2,own,24,education,good,39.04166667,0,0.062105903,628.6305254,1,NA,little,937
30,male,3,own,18,car,bad,58.66666667,1,0.667962814,87.82924061,5,moderate,little,1056
49,male,2,own,12,car,good,260.3333333,1,0.140385415,1854.418667,2,moderate,little,3124
26,female,3,rent,9,furniture/equipment,good,154.2222222,0,0.056235644,2742.428335,3,NA,little,1388
33,male,2,rent,36,repairs,bad,66.22222222,1,0.44870235,147.5860828,1,moderate,little,2384
52,female,4,free,12,car,good,177.75,0,0.420494024,422.7170658,2,NA,NA,2133
20,female,3,rent,18,furniture/equipment,bad,113.2777778,1,0.72034743,157.2543651,7,little,little,2039
36,male,3,rent,9,car,good,311,0,0.009191472,33835.71126,7,little,little,2799
21,male,2,own,12,furniture/equipment,good,107.4166667,0,0.035680564,3010.509222,4,little,little,1289
47,male,2,own,18,domestic appliances,bad,67.61111111,1,0.906373809,74.59517299,1,little,little,1217
60,male,3,own,12,furniture/equipment,bad,187.1666667,1,0.587080981,318.8089422,7,little,little,2246
58,female,2,own,12,radio/TV,good,32.08333333,1,0.131076312,244.7683562,2,little,little,385
42,female,3,rent,24,car,good,81.875,1,0.160770097,509.2675917,8,moderate,NA,1965
36,female,2,own,21,business,good,74.85714286,0,0.044815431,1670.343034,2,NA,rich,1572
20,female,2,rent,24,car,bad,113.25,0,0.329304082,343.907064,2,moderate,little,2718
